"species","linf_cm","tmax_yr","k"
"Anoplopoma fimbria",74.1922720041805,18.8687948344667,0.216364760481539
"Atheresthes stomias",71.0656015485192,23.9943393178376,0.120054401015883
"Beringraja rhina",118.175,24.5,0.135
"Chionoecetes bairdi",NA,NA,NA
"Chionoecetes opilio",NA,NA,NA
"Clupea pallasii pallasii",29.4786319616805,10.981990546735,0.372525830653729
"Eopsetta jordani",61.5610818901626,23.8436521853315,0.160859685300482
"Gadus chalcogrammus",67.8964,17.2857142857143,0.24928
"Gadus macrocephalus",94.4384778384,12.2938221007344,0.228702022554369
"Glyptocephalus zachirus",39.2772189103887,19.2281515299764,0.219911791058594
"Hexagrammos decagrammus",24.2621862632976,7.22593849973569,0.507362252518327
"Hippoglossoides elassodon",47.7562214983566,20.2435079195597,0.13568678561196
"Lepidopsetta bilineata",52.3042822322046,21.9918896512968,0.134177407580136
"Lepidopsetta polyxystra",40.6932308127083,16.1771290748839,0.198863008024282
"Limanda aspera",45.6620481381081,24.4422702511731,0.136821867788031
"Merluccius productus",65.2918226426512,12.8502807612467,0.296279367172663
"Microstomus pacificus",48.5403907104974,46.577187652047,0.13593752085509
"Ophiodon elongatus",38.2806513544248,12.5546405959193,0.245722352159497
"Paralithodes camtschaticus",NA,NA,NA
"Paralithodes platypus",NA,NA,NA
"Parophrys vetulus",34.05174671376,14.0029724426918,0.25914093306003
"Platichthys stellatus",48.6568391372952,15.758909421582,0.232076879439364
"Pleurogrammus monopterygius",41.5761263210045,11.5015393902664,0.41776421966651
"Pleuronectes quadrituberculatus",50.6796053973681,35.7037007430504,0.12157059919399
"Reinhardtius hippoglossoides",131.735468490868,34.0073312596797,0.0647367224366528
"Scomber japonicus",45.0546297848726,8.60887604759017,0.311705530059286
"Scorpaena guttata",32.9041495329644,13.9034623453583,0.154223952452016
"Scorpaenichthys marmoratus",46.8722913082232,10.8647110641705,0.214389726025235
"Sebastes aleutianus",59.0103189914442,93.5840691048809,0.0733092695012475
"Sebastes alutus",43.3915372734717,55.2921803119375,0.123964229559931
"Sebastes carnatus",39.1442616854499,45.1627318573588,0.128689293827913
"Sebastes chlorostictus",39.1442616854499,45.1627318573588,0.128689293827913
"Sebastes crameri",46.6192467583334,60.3633332220868,0.0972866060047087
"Sebastes diploproa",39.1442616854499,45.1627318573588,0.128689293827913
"Sebastes elongatus",35.0957611256581,41.7395151391793,0.13841608143886
"Sebastes entomelas",39.1442616854499,45.1627318573588,0.128689293827913
"Sebastes flavidus",45.0133055213133,53.2667254968619,0.117782182999247
"Sebastes goodei",28.6486104163634,31.1767921708226,0.217228500273335
"Sebastes jordani",29.0365992681706,27.6747762626414,0.197226435840843
"Sebastes levis",46.9356170349533,50.5231947221858,0.110683988592155
"Sebastes melanostomus",52.7646317088926,80.829449159423,0.0729604779973022
"Sebastes mystinus",35.5803277527781,37.6830845465218,0.157500379576887
"Sebastes paucispinis",38.803393274901,40.86504970453,0.145067442760457
"Sebastes pinniger",51.1652050975864,77.3630013959161,0.0870584227485148
"Sebastes polyspinis",37.8661328082806,48.1489176330813,0.149659748989849
"Sebastes ruberrimus",64.6364701863515,92.0509257155383,0.063532663451001
"Sebastes variabilis",30.6779616464467,36.2761920295542,0.180030134147485
"Sebastolobus alascanus",82.7077225239027,78.9586181969337,0.0370806455016268
"Sebastolobus altivelis",53.2886713102089,48.6057088276224,0.0661201501994153
"Squalus suckleyi",116.351243738387,48.2866017232866,0.0595713153638506
