"FdFecundityEquationID","LkupSpeciesID","FdFecundityEquation"
"1","17","F= 0.335SL - 49.65 (SL in mm)"
"2","21","F= 0.232SL - 40.86 (SL in mm)"
"3","21","F= 0.218TL - 46.32 (r2=0.757)  (TL in mm)"
"4","21","F= 0.218TL - 51.32 (r2=0.757)  (TL in mm)"
"5","23","F= 0.0.171SL - 9.2 (SL in mm)"
"6","23","F= 0.0128FL^2.735 (r2= 0.79)"
"7","20","F= 0.347SL - 66.05 (SL in mm)"
"8","18","F= 0.12SL - 12.18 (SL in mm)"
"9","24","F= 0.173SL - 27.79 (SL in mm)"
"10","13","Log (ova) = 2.9145 log(TL) - 2.4311 (range: 326 - 382 mm TL)  (TL in mm)"
"11","25","F= 0.135SL - 9.0 (SL in mm)"
"12","25","F= 0.1352SL - 9.0024 (r2= 0.348) (SL in mm)"
"13","125","F= 0.229SL - 25.8 (SL in mm)"
"14","125","F= 0.178TL - 25.962 (r2= 0.462)  (TL in cm)"
"15","50","eggs = 396.2 (SL) - 40160 (SL in mm)"
"16","126","F= 0.154SL - 15.18 (SL in mm)"
"17","58","F=(4,378)10^(-4l3.720)"
"18","58","F=(4,891)10^(-4l3.7355)"
"19","58","F= - 178.7 + 0.695 W (W=weight of fish, g.)"
"20","58","F=(4.891 x 10^-4)L^3.720  (L in cm)"
"21","14","# maturing eggs = 0.355 TL^1.849 (range: ~135 - 235 mm TL) (TL in mm)"
"22","28","Y=131.2X - 2310.3; r^2=0.81(Bird Rock, Santa Catalina Is.)"
"23","28","Y=132.7X - 2592.7; r^2=0.56 (Arrow Point,Santa Catalina Is.)"
"24","28","Y=62.07X - 1013.5; r^2=0.60 (Big Fisherman's Cove, Santa Catalina Is.)"
"25","30","Y=60.3X - 1098.8; r^2=0.42 (Arrow Point, Santa Catalina Is.)"
"26","30","Y=38.0X - 680.3; r^2=0.44 (Big Fisherman's Cove, Santa Catalina Is.)"
"27","44","F=0.009L^3.16"
"28","34","N = 0.0002824 x FL^3.001 (N = # eggs)  (FL in mm)"
"29","34","N = 16210 W^0.8498 (N = # eggs; W = lbs)"
"30","34","N = 0.0003026 x TL^3.000 (TL in cm)"
"31","109","Batch F= 0.0000027SL^2.93 (r^2=0.49; SE= 0.43) (SL in mm)"
"32","110","Batch F= 0.0389SL^2.71 (r^2=0.33; SE= 0.22) (SL in mm)"
"33","107","Batch F= 0.00000017SL^3.17 (r^2=0.71; SE= 0.34) (SL in mm)"
"34","55","F= - 1,875,906 + 75,377TL (TL in cm)"
"35","55","F=.0004558L^3.6097"
"36","26","F= 0.062SL - 3.75 (SL in mm)"
"37","26","F= 0.115SL - 13.07 (SL in mm)"
"38","5","F=14+5.13W, r=0.698 (1978)"
"39","5","F=17+5.95W, r=0.698 (1985)"
"40","5","F=29+4.92W, r=0.741 (1984)"
