"LkupFoodTypeID","FdFoodType"
"1","adult and juvenile geoduck clams"
"2","algae and copepods"
"3","algae and kelpfly larvae"
"4","algae, shrimp, amphipod, Dungeness crab legs, fish"
"5","algae; small crustaceans"
"6","amphipod crustaceans"
"7","amphipod, isopods, crabs, polychaetes, moluscs, fishe, algae, wood, rock, shrimp"
"8","amphipods"
"9","amphipods (Corophium, gammarids), fish (juv staghorn sculpin, sandlance, starry flounder, threespine stickleback), ghost shrimp (Callianassa)"
"10","amphipods (Eogammarus confervicolus, Corophium sp), polychaetes (Nereis sp), isopod (Gnorimosphaeroma oregonensis), chum salmon fry (Oncorhynchus keta)"
"11","amphipods, crabs, worms"
"12","amphipods, cumaceans, polychaetes, mysids"
"13","amphipods, insects (Chironamid larvae & pupae), Oligochaetes, isopods (Gnorimosphaeroma bregonensis), eggs, calanoid copepods"
"14","amphipods, insects (Chironamid larvae & pupae), Oligochaetes,isopods (Gnorimosphaeroma bregonensis), eggs, calanoid copepods"
"15","amphipods, isopods, crabs, polychaetes, other"
"16","amphipods, isopods, insects, oligochaetes, and calanoid copepods"
"17","amphipods, isopods, polychaetes, molluscs, algae, fish eggs"
"18","amphipods, isopods, polychaetes, molluscs, other"
"19","amphipods, molluscs, annelids, crustaceans, insects"
"20","amphipods, mysids"
"21","amphipods, mysids, fish"
"22","amphipods, diptera larvae, plants, fish, detritus, insects, crustacean, oligochaetes"
"23","amphipods, isopods"
"24","amphipods, isopods, crabs"
"25","amphipods, nereid worm, dipteran larvae, shrimp"
"26","anchovies"
"27","anchovies, other fish, shrimp, and euphausiids"
"28","anchovies, other fishes, and squid"
"29","anchovy, sardine, and squid"
"30","annelid worms, clams, brittle star"
"31","annelids, crabs, shrimp, clams"
"32","annual macrophytes preferred over perennials"
"33","appendicularians: Oikopleura spp."
"34","avoids corraline algae"
"35","barnacle larvae (Cirripedia: Balanus cypris stage), copepod (nauplii, Copepodites, Pseudocalanus minutus), amphipod (Parathemisto pacifica), decapod (Brachyura zoea), Euphausiacea (furcilia), fish (Atheresthes stomias)"
"36","benthic copepods, isopods, gammarid and caprellid amphipods"
"37","benthic copepods, isopods, gammarid, ostracods, and caprellid amphipods"
