"FdRangeID","LkupSpeciesID","FdGeoRange"
"175","111","Alaska (Kodiak Isl.) to southern Baja CA (Cabo San Lucas) and Gulf of CA"
"176","103","Alaska (Zaikof Bay, Montague Isl., Prince William Sound) to central Baja California (Islas San Bonito)"
"177","104","Aleutian Isl. (Umnak and Unalaska Isl.) to northern Baja California (Ensenada)"
"178","35","Aleutian Isl., Alaska to La Jolla, California"
"179","38","Aleutian Isl., Alaska to the southern tip of Baja"
"180","77","Amchitka Isl., Aleutian Isl. to southern CA (Huntington Beach)"
"181","35","Attu Isl, Aleutian Isl. (?) to La Jolla, California"
"183","26","B.C. (Vancouver Isl.) to central Baja CA (Punta Escarpada)"
"184","25","B.C. (Vancouver Isl.) to central Baja CA (Punta San Rosarito and Isla Guadalupe)"
"185","21","B.C. (Vancouver Isl.) to central CA (Avila Beach)"
"186","62","Beaufort Sea"
"187","95","Bering Sea (Navarin Canyon) to central Baja California (Isla Cedros)"
"189","67","Bering Sea and Aleutian Isl. to Isla Cedros, central Baja California"
"190","62","Bering Sea and Aleutian Isl. to Los Angeles Harbor, southern California"
"191","55","Bering sea and Aleutian Island to Bahia San Cristobal, central Baja"
"192","65","Bering sea and south eastern Alaska to Cabo Falsa, southern Baja California"
"193","48","Bering sea to Monterey Bay, central California"
"194","36","Bering Sea to Pt. Conception"
"195","53","Bering Sea(?) to Isla Cedros, central Baja California"
"196","118","Bodega Bay, northern California to Bahia Santa Maria, southern Baja California"
"197","75","British Columbia (Barkley Sound) to southern Baja California (Bahia Magdalena)"
"198","71","British Columbia (Burrard Inlet, Vancouver Isl.) to the southern Gulf of California"
"199","105","British Columbia (Vancouver Isl.) to Gulf of California"
"200","11","British Columbia to Cabo San Lucas, southern Baja California, including Isla Guadalupe"
"201","45","CA (Pt. Conception) to southern Baja CA (Bahia Magdalena)"
"203","76","California (Point Conception) to southern Baja California (Bahia Magdalena)"
"204","73","California (Point Conception) to the Gulf of California"
"205","62","Canadian Arctic"
"206","54","Cape Mendocino, northern California to Bahia Magdelena, southern Baja"
"207","30","Carmel Bay, central California to Isla Clarion, Mexico"
"208","34","center of abundance off coast of British Columbia"
"209","110","central CA (San Francisco Bay, but rare north of Santa Monica Bay) to Mexico (Mazatlan)"
"210","107","central CA (Santa Cruz) to southern Baja CA (Bahia Magdalena)"
"211","97","central CA (Santa Cruz) to the Gulf of California"
"212","42","central California (Diable Cove) to southern Baja California (Isla Asuncion)"
"213","106","central California (Monterey Bay) to Aculpulco Mexico, also Chile"
"214","63","central California (Monterey Bay) to central Baja California (Punta San Pablo)"
"215","41","central California (Monterey Bay) to lower Gulf of California"
"216","64","central California (Monterey Bay) to southern Baja California (Bahia Magdalena)"
"217","61","central California (Morro Bay) to Bahia Magdalena, southern Baja California"
"219","14","Chignik, Alaska to San Quintin Bay, Baja California"
"220","44","circumglobal"
"221","112","circumglobal"
"222","38","circumglobal in temperate waters"
"224","13","Diablo Cove, central CA"
"225","24","distribution gap in the southern California Bight"
"226","100","east Gulf of Alaska (Yakutat Bay) to central Baja California (Bahia de Sebastian Vizcaino)"
"227","91","Eastern aleutian Isl. to southern Baja California (Cabo San Lucas)"
"228","79","eastern Gulf of Alaska (Sitka) to northern Baja California (Punta Baja)"
"229","13","Eastern Kamchatka, Russia and Commander Is, Bering Sea to St Paul I, Aleutian Is"
"230","121","Oregon (Coos Bay) to Gulf of California, Ecuador and Peru"
"231","60","Gulf of Alaska (east of Kodiak Island-north Albatross Bank) to southern Baja California"
"232","93","Gulf of Alaska (Kenai Peninsula) to southern CA (San Miguel Isl.)"
"234","54","Gulf of California"
"235","16","Gulf of California"
"237","31","Gulf of California"
"239","66","Gulf of California"
"240","113","Gulf of California"
"241","112","Gulf of California"
"242","32","Gulf of California (isolated population)"
"243","62","Japan"
"244","36","Japan"
