"LkupReferenceID","FdReferenceName","FdCitationDescription"
"1","Unknown Reference","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"2","Ackerman, L.T. 1971.","Contributions to the biology of the leopard shark, Triakis semifasciata (Girard) in Elkhorn Slough, Monterey Bay, California. M.A. Thesis, Sacramento State College. 54 p."
"3","Ackerman, L.T., M.C. Kondraieff, S.A. Matern, and J.J. Cech. 2000.","Tidal influence on spatial dynamics of leopard sharks, Triakis semifasciata, in Tomales Bay California. Environmental Biology of Fishes 58:33-43."
"6","Adams, P.B. 1992c.","Copper rockfish. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p. 128. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"7","Adams, P.B. 1992a.","Brown rockfish. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p 127-128. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"8","Adams, P.B. 1992b.","Canary rockfish. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p 129. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"10","Adams 1993c","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"11","Adams, P.B. 1994.","An examination of the 1992 and 1993 commercial and recreational lingcod sampling in Oregon and California. Appendix J. In: Status of the Pacific coast groundfish fishery through 1994 and recommended acceptable biological catches for 1995, 26 p. Pacific Fishery Management Council, Portland, Oregon."
"12","Adams, P.B. and J.E. Hardwick. 1992.","Lingcod. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p. 161-164. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"13","Adams, P.B. and D.F. Howard. 1996.","Natural mortality of blue rockfish, Sebastes mystinus, during their first year in nearshore benthic communities. Fishery Bulletin 94:156-162."
