"ID","Subject Heading","Subject","Field Name","FieldDescriptions"
"1","All Subject Headings","All Subjects","Group Name","The species group type.  Examples include flatfish and elasmobranchs.  This field exists for every piece of information in the database."
"2","All Subject Headings","All Subjects","Family Name","The species Family name.  This field exists for every piece of information in the database."
"3","All Subject Headings","All Subjects","Species Name","The species scientific name.  This field exists for every piece of information in the database."
"4","All Subject Headings","All Subjects","Common Name","The species primary common name.  This field exists for every piece of information in the database."
"5","All Subject Headings","All Subjects","Reference Name","The short citation for the specific information.  This field exists for every piece of information in the database."
"6","All Subject Headings","All Subjects","Full Reference","The full citation (without the author's names as those are included in the Reference field).  This field exists for every piece of information in the database."
"7","Age and Growth","Longevity","Sex","The sex is listed if the longevity information is sex specific."
"8","Age and Growth","Longevity","Longevity (in yrs)","The known maximum age in years."
"9","Age and Growth","Longevity","Length at Max Age (meters)","The length (in meters) of the fish at maximum age."
"10","Age and Growth","Longevity","Length Type","The length type (SL: Standard Length; FL: Fork Length; TL: Total Length; BL: Body Length; DL: Dressed Length; NL: Notocord Length; ?L: measurement not defined) of the Length at Max Age (meters) field."
"11","Age and Growth","Longevity","Notes","Any notes regarding this species' longevity."
"12","Age and Growth","Growth Parameters","Geographic Area","The geographic area where the growth parameters were studied."
"13","Age and Growth","Growth Parameters","Area Notes","Any notes regarding the Geographic Area field."
"14","Age and Growth","Growth Parameters","Length Type","The length type (SL: Standard Length; FL: Fork Length; TL: Total Length; BL: Body Length; DL: Dressed Length; NL: Notocord Length; ?L: measurement not defined) of the L-inf field."
"15","Age and Growth","Growth Parameters","Aging Structure","The structure used to give an estimate of age.  Example: Otolith."
"16","Age and Growth","Growth Parameters","Aging Method","The method used to give an estimate of age.  Example: Break-and-Burn."
"17","Age and Growth","Growth Parameters","Estimate Validated?","A binary (yes or no) response to the question of whether the age estimate was validated."
"18","Age and Growth","Growth Parameters","Validation Method","The method used to validate the age estimate.  Example: radionuclides."
"19","Age and Growth","Growth Parameters","Estimate Verified?","A binary (yes or no) response to the question of whether the age estimate was verified."
"20","Age and Growth","Growth Parameters","Verification Method","The method used to verify the age estimate.  Example: between readers (intrareader)."
"21","Age and Growth","Growth Parameters","Sex Type","The sex listed for specific growth parameters."
"22","Age and Growth","Growth Parameters","L-inf","The maximum length predicted by VB equation."
"23","Age and Growth","Growth Parameters","Standard Error (L-inf)","The standard error of the L-inf value."
"24","Age and Growth","Growth Parameters","K","The growth coefficient (has no units)."
"25","Age and Growth","Growth Parameters","Standard Error (K)","The standard error of the K value."
"26","Age and Growth","Growth Parameters","T-zero","The age at which the fish would theoretically have been size zero."
"27","Age and Growth","Growth Parameters","Standard Error (T-zero)","The standard error of the T-zero value."
"28","Age and Growth","Growth Parameters","R-squared","The coefficient of determination."
"29","Age and Growth","Length-to-Weight Equations","Sex","The sex listed for specific length-to-weight equations."
"30","Age and Growth","Length-to-Weight Equations","Length-to-Weight Equations","The length-to-weight equations for this species."
"31","Age and Growth","Length Conversion Equations","Length Conversion Equations","The length conversion equations for a species."
"32","Age and Growth","Maximum Recorded Length","Length Type","The length type (SL: Standard Length; FL: Fork Length; TL: Total Length; BL: Body Length; DL: Dressed Length; NL: Notocord Length; ?L: measurement not defined) of the Maximum Length field."
"33","Age and Growth","Maximum Recorded Length","Maximum Length","The maximum recorded length."
"34","Behavior","Competition","Competing Organism","Other organisms that compete with the species."
"35","Behavior","Homing and Home Range","Homing Description","A description of the homing ability of a species (if any)."
"36","Behavior","Interactions with Others","Interactions with other organisms","A description of the known relationships the species has with other organisms (symbiotic, mutualistic, parasitic, etc.)."
"37","Behavior","Resident or Transient","Resident or Transient","The resident or transient nature of the species."
"38","Behavior","Schooling","Schooling","The schooling characteristics of the species."
"39","Behavior","Tagging Studies","Tagging Studies","The movement of the species as shown through tagging studies."
"40","Behavior","Territoriality","Territoriality","The territoriality characteristics of the species (if any)."
"41","Dispersal and Recruitment","Annual Cohort Success","Cohort Success","A description of how many fish survive of the same pulse in a new habitat."
"42","Dispersal and Recruitment","Annual Cohort Success","Notes","Any notes regarding the species cohort success."
