"LkupHabitatID","FdHabitat"
"1","< 30 m and within 4 to 5 km of shore"
"2","-1 to +1 m"
"3","1.6 - 8.2 m  of the plus 2 tide level, crevices or rock ledges"
"4","3 m, intertidal, large rocks covered with oysters, brown alga"
"5","3-10 m below low tide, crevices in boulder area, where little marine growth"
"6","3-10 m depth, adhesive, on algae "
"7","33-97 m; in vertical cracks between boulders, over boulder overhangs, or in V-shaped cuts within lava flows; Sitka Sound, AK"
"8","3-D biological substrates: encrusting epifauna, empty barnacle valves, branches of hydrocoral, rock substrate"
"9","5-17 m depth; rock, rock crevices, or rock & biological substrate "
"10","90-95 m, Soquel Canyon, Monterey Bay, CA"
"11","abundant in neustonic and midwater layers nearshore"
"12","abundant in shallow water areas, buries itself deeply in sediment"
"13","abundant in surf grass beds"
"14","abundant in upper few inches of kelp"
"15","abundant inshore, common in surface canopy"
"16","adhesive"
"17","adhesive and stick in large masses to rocky crevasses"
"18","adhesive eggs"
"19","adhesive masses in crevices, caves, under or between boulders; 2.4-19.8 m below MLLW (not investigated below 24.3 m)"
"20","adhesive, algae or stones"
"21","adhesive, on jagged rock"
"22","adhesive, under rock, 0.5 m below surface (intertidal)"
"23","affinity for shallow waters with sandy and muddy substrates all along the Pacific Coast"
"24","aggegrate around reefs and pinnicles; rocky shelf; larger fish found at deeper depths"
"25","aggregates by day in surface waters close to kelp forests, but at night larger individuals disperse close beneath the water surface over deeper water"
"26","algae (Iridaea splendens)"
"27","along Pacific coast and in euryhaline waters of estuaries"
"28","among kelp beds and algae of coastal waters"
"29","amoung seaweed and kelp beds"
"30","amoung seaweeds, in canopy and mid-kelp habitat;also in short coralline algae, Torrey's surgrass, and eelgrass beds, sometimes drifting in kelp many miles from shore"
"31","anadromous"
"32","anadromous, found nearshore and in costal inlets and rivers"
"33","and females inshore"
"34","and in bays and sloughs"
"35","associated with soft bottom habitat"
"36","at depths of 25 to 120"
"37","at night in crevices and holes"
"38","at night they burrow into sand or mud"
"39","at sea surface"
"40","attached to  rocks"
"41","attached to algae, grass, and submerged aquatic plants"
"42","attached to substrate in large masses below low-tide mark"
"43","attached to substrate in shallow intertidal coastal waters"
"44","avoid light and remain buried in the sand during the day, coming out at night to feed"
"46","bay (Everett Bay, WA)"
"47","bay (Humboldt Bay, Humboldt Co, CA)"
"48","bay (Padilla Bay, WA)"
"49","bay (Skagit Bay, Puget Sound, WA)"
"50","bay mouths; eelgrass beds; estuaries and lagoons; breakwaters; kelp beds"
"51","bay, cove, strait (Strait of Juan de Fuca)"
"52","bay/estuary (San Francisco Bay, CA)"
"53","bays and estuaries; eelgrass; kelp bed understory and algal patches"
"54","bays used as nursery areas during first year of life"
"55","bedrock ledges or boulders >10 m"
"56","benthic (73-146 m), Strait of Georgia"
"57","benthic in bays and estuaries"
"59","benthic in bays, estuaries and sloughs and nearshore coastal waters"
"60","benthic in estuaries, bays, and lagoons"
"61","benthic in nearshore, soft bottom habitats"
"62","benthic in nearshore, soft bottom habitats, with highest concentration found near protected inlets and embayments were water temperatures are elevated and sediments are primarily soft sand and mud"
"63","benthic in riverine or upper estuarine environments"
"64","benthic on algae"
"65","benthic, Kamchatka"
"66","benthic, Northern Kuril Islands & Southeastern Kamchatka"
"67","benthic, sandy substrate often aggregate near structures"
"68","beyond 4 to 5 km of shore"
"69","boreal to warm-temperate, inshore and offshore, and from surface to bottom"
"70","bottom dwelling  in shallow  muddy bays"
"71","bottom dwelling in shallow muddy bays"
"72","breakwaters and rocky areas; high and low intertidal; out of water, under rocks and algae"
"73","British Columbia"
"74","burrow into the sand at night and sleep"
"75","capable of aerial respiration and can stay alive out of water for several days"
"76","catadromous fish"
"77","channels and bays"
"78","cluster of egg masses on moderately exposed bedrock, 4 m depth"
"79","coastal and offshore waters"
"80","coastal waters"
"81","coastal waters to > 200 miles offshore"
"82","coastal-pelagic species of temperate waters, found in shallow bays and in submarine canyons"
"83","cobble bottom kelp forest (8-18 m), San Onofre Kelp bed"
"84","collected at surface during the day with a shift to lower depths occurring at night"
"85","common in estuaries"
"86","common in eelgrass of bays and sloughs"
"87","common in enclosed, shallow, muddy bays"
"88","common in kelp column and canopy, also about laminarian algae and eel grass on the bottom"
"89","common in shallow waters along the coast as well as in estuaries"
"90","concentrate around freshwater inlets"
"91","concentrated in midwater"
"92","females lay eggs in nests constructed by males"
"93","continental slope/basin in sand or mud"
"94","costal embayments and estuaries, also in shallow open costal waters"
"95","crevice, coiled among egg mass"
"96","crevices"
"97","crevices or rock ledges & some water movement; to 33 m (100 ft) from high tide level"
"98","daytime spawners"
"99","deep lower intertidal"
"100","deep rock pools"
"101","deep water along coasts"
"102","deep, silt-covered cobble and boulder bottoms"
"103","deeper rock/rocky shelf; high relief rock and artificial reefs; boulder fields"
"104","deeper water (148-195 m), mud-bottom association"
"105","deeper waters"
"106","deeper waters during some months of the year"
"108","demersal"
"109","demersal and adhesive"
"110","demersal eggs attached to course sand grains in the upper tidal zone"
"111","demersal eggs attached to submerged vegetation or rocks"
"112","demersal fish, inhabits the other continental shelf and upper slope, normally occurs on rocky bottoms"
"113","demersal on shelf to mid-slope"
"114","demersal on soft to hard substrate"
"115","demersal, adhering to rocks"
"116","demersal, adhesive"
"117","demersal, adhesive eggs"
"118","demersal, adhesive eggs spawned in shallow intertidal coastal waters"
"119","demersal, adhesive, attached"
"120","demersal, adhesive, attached eggs"
"121","demersal, adhesive, clusters"
"122","demersal, adhesive, guarded"
"123","demersal, attached"
"124","demersal, attached to substrate in a nest via adhesive filaments"
"125","demersal, living primarily on soft bottom of the continental shelf; near rocky areas during spawning"
"126","demersal; among rocks near or on sand or sandy flats; kelp and surfgrass beds; rocky and artificial reefs"
"127","demersal; hard bottoms"
"128","demersal; hard bottoms; tidepools"
"129","demersal; kelp beds; eelgrass beds; flat bottom"
"130","demersal; west coast Vancouver Island, B.C."
"131","Diablo Cove, CA"
"132","distribution of larvae indicates populations off s. California are recruited from Baja, California"
"133","drifitng kelp"
"134","duration of in-beach-sand incubation is dictated by tidally driven wave activity"
"135","during the day , these animals are often found buried in the substratum"
"136","dwell primarily in shallow estuaries"
"137","eel grass beds"
"138","eelgrass beds"
"139","eelgrass beds and boa kelp; kelp canopy (YOY essential habitat); algae holdfasts; surf zone; lagoons; drifting kelp"
"140","eelgrass beds at night"
"141","egg hatching aided by stirring of gravel by waves"
"142","egg masses adhered to substrate (rocks, inverts)"
"143","eggs are deposited in areas of pea-sized gravel and/or semi-sandy areas with sticks and debris; occur in freshwater"
"144","eggs are deposited in the sand at night just below the high spring tide line"
"145","eggs are found on sargassum, ribbon kelp, giant kelp, and surfgrass"
"146","eggs are laid by female in pouch of male, eggs hatch and are retained inside pouch until release as minature adults"
"147","eggs are laid intertidally on beaches of coarse sand with fine gravel"
"148","eggs are laid primarily on eelgrass and adhere to macroalgae on tidal flats"
"149","eggs are pelagic, spawned on the open coast"
"150","eggs attached in algal nest and brooded by male"
"151","eggs attached to algae, eel grass hydroids, and submerged aquatic plants"
"152","eggs attached to estuarine and marine plants and other floating objects"
"153","eggs attached to nest wall"
"154","eggs attached to spawning substrate and to one another via adhesive filaments"
"155","eggs brooded within specialized structure on adult"
"156","eggs develop in sand and hatch when uncovered and agitated by surf of next high tide"
"157","eggs laid on the underside of intertidal and subtidal rocks"
"158","eggs occur over water 20-70 m deep"
"159","eggs planktonic"
"160","eggs spawned at night"
