"FdEggsPerLenghtID","LkupSpeciesID","Fd#Eggs"
"1","64","15,000 to 80,000"
"2","24","18 (3 yrs.) to 32 (7 yrs.)"
"3","34","500,000 (118 cm TL)"
"4","123","6 embryos (121 cm)"
"5","34","60,000 (70 cm TL)"
"6","108","60 million (~50 yrs.)"
"7","114","17,500 (41 SL; 7 yrs.) to 46,000 (61 SL; 11yrs.)"
"8","103","158,915 (46.0 TL) to 2,683,768 (68.0 TL)"
"9","100","1,245 (9.5 TL) to 131,382 (28.0 TL)"
"10","88","10,637 (16.0 TL) to 295,153 (34.4 TL)"
"11","94","12,601 (15.2 TL) to 95,267 (23.5 TL)"
"12","89","3,409 (11.7 TL) to 30,858 (18.5 TL)"
"13","81","3,878 (11.6 TL) to 18,006 (15.5 TL)"
"14","127","30,600 (32.5 TL) to 655,050 (46.7 TL)"
"15","99","32,674 (24 TL) to 227,573 (32.6 TL)"
"16","98","8,686 (16.9 TL) to 39,394 (23.8 TL)"
"17","87","40,961(27.6 TL) to 759,040 (39 TL)"
"18","111","42000 (50 TL; 2yrs.) to 484,000 (94 TL; 6 yrs.)"
"19","75","800 (15.5 TL) to 37,200 (26 TL)"
"20","1","10000"
"21","9","729,000 (72.8 FL) to 3,914,000 (105.3 FL) eggs"
"22","55","1 million (36-38cm)- 2 milion. (43 cm)"
"23","20","12 (4 yrs.) to 60 (10 yrs.)"
"24","55","150,000 (30 cm, 3 yrs) to 300,000 (43.7 cm)"
"25","58","255,000 (35-36 cm), 305,000 (37-38 cm), 415,000 (39-40 cm), 435,000 (41-42 cm), and 615,000 (43-44 cm)"
"26","44","1,320,000 eggs (50 cm)"
"27","24","11 (26.3 FL; 4 yrs.) to 36 (33.4 FL; 7 yrs.)"
"28","4","1,475 eggs (13.7 cm TL)-2,528 eggs (17.1 cm TL)"
"29","107","16,500 (148 g) to 185,000 (2,625 g)"
"30","47","17,300 (14.5 cm SL)-39,600 (18.8 cm SL)"
"31","55","1 million(33 cm)-2 million (43 cm)"
"32","79","524,000 (40.5 TL)"
"33","11","3,550 eggs (155 mm TL female)"
"34","26","10.1 (16 SL; 2 yrs.) to 28.5 (23.4 SL; 7 yrs.)"
"35","24","18 (21.6 SL; 3 yrs.) to 32 (29.7 SL; 7 yrs.)"
"36","20","18 (22.4 SL; 4 yrs.) to 52 (33.2 SL; 10 yrs.)"
"37","125","3.4 (12.8 SL; 2 yrs.) to 16.3 (18.4 SL; 5 yrs.)"
"38","18","4.3 (14.9 SL; 2 yrs.) to 30.7 (29.6 SL; 7 yrs.)"
"39","23","5.8 (8.23 SL; 1 yr) to 20 (12.2 SL; 6 yrs.)"
"40","25","6 (11.0 SL; 1 yr.) to 11 (15.1 SL; 4 yrs.)"
"41","17","8.4 (17.2 SL; 2yrs.) to 62.4 (33.7 SL; 9 yrs.)"
"42","21","8.7 (21.8 SL; 4 yrs.) to 33.7 (29.2 SL; 8 yrs.)"
"43","91","3,000 to 106,000"
"44","95","41,000 to 400,000"
"45","26","7.3 (4 to 11); 6.8 (3 to 11)"
"46","90","172,000 (30.5 TL)"
"47","20","61 (44.9 TL; 9 yrs.)"
"48","78","110,000 (20 SL)"
"49","78","99,000 (20 SL)"
"50","21","7.4 (25.8 TL; 3 yrs.) to 33.7 (36.7 TL; 8 yrs.)"
"51","129","820,000 (49 FL) to 1,320,000 (56.9 FL)"
"52","125","4 (17.4 TL; 2 yrs.) to 17 (18.4 TL; 3 yrs.)"
"53","109","81,000 (30.0 SL, 700 g)"
"54","26","8 (19.6 SL) to 33 (26.2 SL)"
"55","8","4,300(85mm)-30,800 (148 mm)"
"56","34","518,000 (104 cm TL)"
