"stockid","stocklong","assessid","assessor_id","assess_method","country","region","area","family","species","comm_name","msy","msy_units","rec_age_yr"
"ALPLAICBSAI","Alaska plaice Bering Sea and Aleutian Islands","AFSC-ALPLAICBSAI-1975-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Bering Sea and Aleutian Islands","Pleuronectidae","Pleuronectes quadrituberculatus","Alaska plaice",NA,NA,1
"ALSKABSAI","Alaska skate Bering Sea and Aleutian Islands","AFSC-ALSKABSAI-1950-2015-SISIMP2016","AFSC","SS3","USA","US Alaska","Bering Sea and Aleutian Islands","Arhynchobatidae","Bathyraja parmifera","Alaska skate",NA,NA,0
"ARFLOUNDBSAI","Arrowtooth flounder Bering Sea and Aleutian Islands","AFSC-ARFLOUNDBSAI-1976-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Bering Sea and Aleutian Islands","Pleuronectidae","Atheresthes stomias","Arrowtooth flounder",NA,NA,1.5
"ARFLOUNDGA","Arrowtooth flounder Gulf of Alaska","AFSC-ARFLOUNDGA-1961-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Gulf of Alaska","Pleuronectidae","Atheresthes stomias","Arrowtooth flounder",254271,"MT",2
"ARFLOUNDPCOAST","Arrowtooth flounder Pacific Coast","NWFSC-ARFLOUNDPCOAST-1914-2015-SISIMP2016","NWFSC","SS2","USA","US West Coast","Pacific Coast","Pleuronectidae","Atheresthes stomias","Arrowtooth flounder",5844,"MT",0
"ATKABSAI","Atka mackerel Bering Sea and Aleutian Islands","AFSC-ATKABSAI-1977-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Bering Sea and Aleutian Islands","Hexagrammidae","Pleurogrammus monopterygius","Atka mackerel",NA,NA,1
"ATKAGA","Atka mackerel Gulf of Alaska","AFSC-ATKAGA-1977-2014-SISIMP2016","AFSC","Unknown","USA","US Alaska","Gulf of Alaska","Hexagrammidae","Pleurogrammus monopterygius","Atka mackerel",NA,NA,NA
"AUROCKPCOAST","Aurora rockfish Pacific Coast","NWFSC-AUROCKPCOAST-1916-2013-SISIMP2016","NWFSC","SS3","USA","US West Coast","Pacific Coast","Sebastidae","Sebastes aurora","Aurora rockfish",72,"MT",0
"BGROCKPCOAST","Blackgill rockfish Pacific Coast","NWFSC-BGROCKPCOAST-1950-2011-STACHURA","NWFSC","SS3","USA","US West Coast","Pacific Coast","Sebastidae","Sebastes melanostomus","Blackgill rockfish",222,"MT",0
"BIGSKA3CD","Big skate West Coast of Vancouver Island","DFO-PAC-BIGSKA3CD-1954-2011-OSGOOD","DFO-PAC","CatchMSY","Canada","Canada West Coast","West Coast of Vancouver Island","Rajidae","Beringraja binoculata","Big skate",NA,NA,NA
"BIGSKA4B","Big skate Strait of Georgia","DFO-PAC-BIGSKA4B-1996-2011-OSGOOD","DFO-PAC","CatchMSY","Canada","Canada West Coast","Strait of Georgia","Rajidae","Beringraja binoculata","Big skate",NA,NA,NA
"BIGSKA5AB","Big skate Queen Charlotte Sound","DFO-PAC-BIGSKA5AB-1954-2011-OSGOOD","DFO-PAC","CatchMSY","Canada","Canada West Coast","Queen Charlotte Sound","Rajidae","Beringraja binoculata","Big skate",NA,NA,NA
"BIGSKA5CDE","Big skate Hecate Strait","DFO-PAC-BIGSKA5CDE-1954-2011-OSGOOD","DFO-PAC","CatchMSY","Canada","Canada West Coast","Hecate Strait","Rajidae","Beringraja binoculata","Big skate",351,"MT",NA
"BKINGCRABPI","Blue king crab Pribilof Islands","AFSC-BKINGCRABPI-1960-2008-JENSEN","AFSC","Survey indices","USA","US Alaska","Pribilof Islands","Lithodidae","Paralithodes platypus","Blue king crab",NA,NA,NA
"BKINGCRABSMI","Blue king crab Saint Matthews Island","AFSC-BKINGCRABSMI-1960-2008-JENSEN","AFSC","Survey indices","USA","US Alaska","Saint Matthews Island","Lithodidae","Paralithodes platypus","Blue king crab",NA,NA,NA
"BLACKROCKCAL","Black rockfish California","SWFSC-BLACKROCKCAL-1916-2015-SISIMP2016","SWFSC","SS3","USA","US West Coast","California","Sebastidae","Sebastes melanops","Black rockfish",343,"MT",0
"BLACKROCKORECOAST","Black rockfish Oregon Coast","NWFSC-BLACKROCKORECOAST-1892-2015-SISIMP2016","NWFSC","SS3","USA","US West Coast","Oregon Coast","Sebastidae","Sebastes melanops","Black rockfish",518,"MT",0
"BLACKROCKWASH","Black rockfish Washington","NWFSC-BLACKROCKWASH-1940-2015-SISIMP2016","NWFSC","SS3","USA","US West Coast","Washington","Sebastidae","Sebastes melanops","Black rockfish",NA,NA,0
"BLUEROCKCAL","Blue rockfish California","NWFSC-BLUEROCKCAL-1916-2007-BRANCH","NWFSC","SS2","USA","US West Coast","California","Sebastidae","Sebastes mystinus","Blue rockfish",275,"MT",0
"BNKROCKCAL","Bank rockfish California","PFMC-BNKROCKCAL-1979-1999-CHING","PFMC","SS1","USA","US West Coast","California","Sebastidae","Sebastes rufus","Bank rockfish",NA,NA,NA
"BOCACCBCW","Bocaccio British Columbia Waters","DFO-PAC-BOCACCBCW-1935-2012-CHING","DFO-PAC","Unknown","Canada","Canada West Coast","British Columbia Waters","Sebastidae","Sebastes paucispinis","Bocaccio",NA,NA,NA
"BOCACCSPCOAST","Bocaccio Southern Pacific Coast","SWFSC-BOCACCSPCOAST-1935-2013-SISIMP2016","SWFSC","SS3","USA","US West Coast","Southern Pacific Coast","Sebastidae","Sebastes paucispinis","Bocaccio",1347,"MT",0
"BRNROCKPCOAST","Brown rockfish Pacific Coast","SWFSC-BRNROCKPCOAST-1916-2012-SISIMP2016","SWFSC","XDB-SRA","USA","US West Coast","Pacific Coast","Sebastidae","Sebastes auriculatus","Brown rockfish",149.9,"MT",NA
"CABEZNCAL","Cabezon Northern California","PFMC-CABEZNCAL-1930-2009-CHING","PFMC","SS3","USA","US West Coast","Northern California","Cottidae","Scorpaenichthys marmoratus","Cabezon",129,"MT",NA
"CABEZORECOAST","Cabezon Oregon Coast","NWFSC-CABEZORECOAST-1973-2009-STACHURA","NWFSC","SS3","USA","US West Coast","Oregon Coast","Cottidae","Scorpaenichthys marmoratus","Cabezon",48,"MT",0
"CABEZSCAL","Cabezon Southern California","PFMC-CABEZSCAL-1930-2009-CHING","PFMC","SS3","USA","US West Coast","Southern California","Cottidae","Scorpaenichthys marmoratus","Cabezon",30,"MT",NA
"CALSCORPSCAL","California scorpionfish Southern California","SWFSC-CALSCORPSCAL-1914-2015-SISIMP2016","SWFSC","SS2","USA","US West Coast","Southern California","Scorpaenidae","Scorpaena guttata","California scorpionfish",127,"MT",0
"CHILISPCOAST","Chilipepper Southern Pacific Coast","SWFSC-CHILISPCOAST-1892-2015-SISIMP2016","SWFSC","SS3","USA","US West Coast","Southern Pacific Coast","Sebastidae","Sebastes goodei","Chilipepper",2133,"MT",0
"CHROCKCPCOAST","China rockfish Central Pacific Coast","NWFSC-CHROCKCPCOAST-1900-2015-SISIMP2016","NWFSC","SS3","USA","US West Coast","Central Pacific Coast","Sebastidae","Sebastes nebulosus","China rockfish",15.7,"MT",0
"CHROCKNPCOAST","China rockfish Northern Pacific Coast","SWFSC-CHROCKNPCOAST-1900-2015-SISIMP2016","SWFSC","SS3","USA","US West Coast","Northern Pacific Coast","Sebastidae","Sebastes nebulosus","China rockfish",NA,NA,0
"CHROCKSPCOAST","China rockfish Southern Pacific Coast","NWFSC-CHROCKSPCOAST-1900-2015-SISIMP2016","NWFSC","SS3","USA","US West Coast","Southern Pacific Coast","Sebastidae","Sebastes nebulosus","China rockfish",21.1,"MT",0
"CMACKPCOAST","Pacific chub mackerel Pacific Coast","SWFSC-CMACKPCOAST-1983-2015-SISIMP2016","SWFSC","SS3","USA","US West Coast","Pacific Coast","Scombridae","Scomber japonicus","Pacific chub mackerel",23048.2,"MT",0
"COWCODSCAL","Cowcod Southern California","PFMC-COWCODSCAL-1900-2015-HIVELY","PFMC","XDB-SRA","USA","US West Coast","Southern California","Sebastidae","Sebastes levis","Cowcod",69,"MT",NA
"CPRROCKPCOAST","Copper rockfish Pacific Coast","SWFSC-CPRROCKPCOAST-1916-2012-SISIMP2016","SWFSC","XDB-SRA","USA","US West Coast","Pacific Coast","Sebastidae","Sebastes caurinus","Copper rockfish",196.97,"MT",NA
"CROCKPCOAST","Canary rockfish Pacific Coast","NWFSC-CROCKPCOAST-1892-2015-SISIMP2016","NWFSC","SS3","USA","US West Coast","Pacific Coast","Sebastidae","Sebastes pinniger","Canary rockfish",1226,"MT",0
"CROCKWCVANISOGQCI","Canary rockfish West Coast of Vancouver Island and Strait of Georgia and Queen Charlotte Islands","DFO-CROCKWCVANISOGQCI-1945-2009-STANTON","DFO","SCA","Canada","Canada West Coast","West Coast of Vancouver Island and Strait of Georgia and Queen Charlotte Islands","Sebastidae","Sebastes pinniger","Canary rockfish",713.7922747,"MT",NA
"DKROCKPCOAST","Darkblotched rockfish Pacific Coast","NWFSC-DKROCKPCOAST-1915-2015-SISIMP2016","NWFSC","SS3","USA","US West Coast","Pacific Coast","Sebastidae","Sebastes crameri","Darkblotched rockfish",674,"MT",0
"DSOLEGA","Dover sole Gulf of Alaska","AFSC-DSOLEGA-1978-2015-SISIMP2016","AFSC","SS3","USA","US Alaska","Gulf of Alaska","Pleuronectidae","Microstomus pacificus","Dover sole",NA,NA,1.5
"DSOLEPCOAST","Dover sole Pacific Coast","SWFSC-DSOLEPCOAST-1910-2011-STACHURA","SWFSC","SS3","USA","US West Coast","Pacific Coast","Pleuronectidae","Microstomus pacificus","Dover sole",34757,"MT",0
"DUSROCKGA","Dusky rockfish Gulf of Alaska","AFSC-DUSROCKGA-1977-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Gulf of Alaska","Sebastidae","Sebastes variabilis","Dusky rockfish",NA,NA,4
"ESOLEHS","English sole Hecate Strait","DFO-PAC-ESOLEHS-1944-2001-COLLIE","DFO-PAC","TSA","Canada","Canada West Coast","Hecate Strait","Pleuronectidae","Parophrys vetulus","English sole",NA,NA,4
"ESOLEPCOAST","English sole Pacific Coast","NWFSC-ESOLEPCOAST-1876-2012-SISIMP2016","NWFSC","SS3","USA","US West Coast","Pacific Coast","Pleuronectidae","Parophrys vetulus","English sole",3875,"MT",0
"EULAPCOASTCCDU","Eulachon Pacific Coast of Canada Central Coast Designatable Unit","DFO-EULAPCOASTCCDU-1951-2012-WATSON","DFO","BSREDM","Canada","Canada West Coast","Pacific Coast of Canada Central Coast Designatable Unit","Osmeridae","Thaleichthys pacificus","Eulachon",NA,NA,NA
"EULAPCOASTFRDU","Eulachon Pacific Coast of Canada Fraser River Designatable Unit","DFO-EULAPCOASTFRDU-1900-2012-WATSON","DFO","BSREDM","Canada","Canada West Coast","Pacific Coast of Canada Fraser River Designatable Unit","Osmeridae","Thaleichthys pacificus","Eulachon",112,"MT",NA
"EULAPCOASTNSDU","Eulachon Pacific Coast of Canada Nass / Skeena Designatable Unit","DFO-EULAPCOASTNSDU-1951-2012-WATSON","DFO","BSREDM","Canada","Canada West Coast","Pacific Coast of Canada Nass / Skeena Designatable Unit","Osmeridae","Thaleichthys pacificus","Eulachon",NA,NA,NA
"FLSOLEBSAI","Flathead sole Bering Sea and Aleutian Islands","AFSC-FLSOLEBSAI-1977-2015-SISIMP2016","AFSC","Unknown","USA","US Alaska","Bering Sea and Aleutian Islands","Pleuronectidae","Hippoglossoides elassodon","Flathead sole",83321,"MT",3
