"comm_name","sci_name"
" ",NA
"ABALONES **","HALIOTIDAE"
"ALGAE, MARINE **","CHLOROPHYTA"
"BUTTERCLAM, WASHINGTON","SAXIDOMUS GIGANTEA"
"CAPELIN ","MALLOTUS VILLOSUS"
"CHAR, ARCTIC ","SALVELINUS ALPINUS"
"CLAM, PACIFIC GEODUCK ","PANOPEA ABRUPTA"
"CLAM, PACIFIC LITTLENECK ","PROTOTHACA STAMINEA"
"CLAM, PACIFIC RAZOR ","SILIQUA PATULA"
"CLAMS **","BIVALVIA"
"COCKLE, NUTTALL ","CLINOCARDIUM NUTTALLII"
"COD, PACIFIC ","GADUS MACROCEPHALUS"
"CONCHS, TRUE **","STROMBUS"
"CORALS **","ANTHOZOA"
"CRAB, DUNGENESS ","CANCER MAGISTER"
"CRAB, KING **","PARALITHODES"
"CRAB, SNOW ","CHIONOECETES OPILIO"
"CRAB, SNOW/TANNER **","CHIONOECETES"
"CRAB, SOUTHERN TANNER ","CHIONOECETES BAIRDI"
"CRABS, DECAPODA (ORDER) **","DECAPODA"
"CRUSTACEANS **","CRUSTACEA"
"CUCUMBERS, SEA **","HOLOTHUROIDEA"
"FLATFISHES **","PLEURONECTIFORMES"
"FLOUNDER, ARROWTOOTH","ATHERESTHES STOMIAS"
"FLOUNDER, STARRY ","PLATICHTHYS STELLATUS"
"FLOUNDERS, RIGHTEYE **","PLEURONECTIDAE"
"GRENADIERS **","MACROURIDAE"
"HALIBUT, GREENLAND ","REINHARDTIUS HIPPOGLOSSOIDES"
"HALIBUT, PACIFIC ","HIPPOGLOSSUS STENOLEPIS"
"HERRING, PACIFIC","CLUPEA PALLASII"
"HERRING, PACIFIC ","CLUPEA PALLASII"
"INCONNU ","STENODUS LEUCICHTHYS"
"LINGCOD ","OPHIODON ELONGATUS"
"MACKEREL, ATKA ","PLEUROGRAMMUS MONOPTERYGIUS"
"MUSSEL, SEA ","MYTILUS EDULIS"
"OCTOPUSES **","OCTOPODIDAE"
"OYSTER, OLYMPIA ","OSTREA CONCHAPHILA"
"OYSTER, PACIFIC ","CRASSOSTREA GIGAS"
"PIKES **","ESOCIDAE"
"POLLOCK, WALLEYE","GADUS CHALCOGRAMMUS"
"ROCKFISH, BLACK ","SEBASTES MELANOPS"
"ROCKFISH, BLUE ","SEBASTES MYSTINUS"
"ROCKFISH, BOCACCIO ","SEBASTES PAUCISPINIS"
"ROCKFISH, CANARY ","SEBASTES PINNIGER"
"ROCKFISH, CHINA ","SEBASTES NEBULOSUS"
"ROCKFISH, COPPER ","SEBASTES CAURINUS"
"ROCKFISH, DARKBLOTCHED ","SEBASTES CRAMERI"
"ROCKFISH, GREENSTRIPED ","SEBASTES ELONGATUS"
"ROCKFISH, PACIFIC OCEAN PERCH ","SEBASTES ALUTUS"
"ROCKFISH, REDBANDED ","SEBASTES BABCOCKI"
"ROCKFISH, REDSTRIPE ","SEBASTES PRORIGER"
"ROCKFISH, SHARPCHIN ","SEBASTES ZACENTRUS"
"ROCKFISH, SILVERGRAY ","SEBASTES BREVISPINIS"
"ROCKFISH, STARRY ","SEBASTES CONSTELLATUS"
"ROCKFISH, VERMILION ","SEBASTES MINIATUS"
"ROCKFISH, WIDOW ","SEBASTES ENTOMELAS"
"ROCKFISH, YELLOWEYE ","SEBASTES RUBERRIMUS"
"ROCKFISH, YELLOWMOUTH ","SEBASTES REEDI"
"ROCKFISH, YELLOWTAIL ","SEBASTES FLAVIDUS"
"ROCKFISHES **","SEBASTES "
"SABLEFISH ","ANOPLOPOMA FIMBRIA"
"SALMON, CHINOOK ","ONCORHYNCHUS TSHAWYTSCHA"
"SALMON, CHUM ","ONCORHYNCHUS KETA"
"SALMON, COHO ","ONCORHYNCHUS KISUTCH"
"SALMON, PACIFIC **","ONCORHYNCHUS"
"SALMON, PINK ","ONCORHYNCHUS GORBUSCHA"
"SALMON, SOCKEYE ","ONCORHYNCHUS NERKA"
"SCALLOP, SEA ","PLACOPECTEN MAGELLANICUS"
"SCALLOP, WEATHERVANE ","PATINOPECTEN CAURINUS"
"SCULPINS **","COTTIDAE"
"SEAWEED, KELP **","MACROCYSTIS"
"SHARK, DOGFISH, SPINY ","SQUALUS ACANTHIAS"
"SHARKS, CHONDRICHTHYES (CLASS) **","CHONDRICHTHYES"
"SHARKS, DOGFISH **","SQUALIDAE"
"SHRIMP, OCEAN ","PANDALUS JORDANI"
"SHRIMPS, PENAEID **","PENAEIDAE"
"SKATES, RAJIDAE (FAMILY) **","RAJIDAE"
"SMELT, EULACHON ","THALEICHTHYS PACIFICUS"
"SMELTS **","OSMERIDAE"
"SOLE, BUTTER ","ISOPSETTA ISOLEPIS"
"SOLE, DOVER ","MICROSTOMUS PACIFICUS"
