Release date,Department,Year,Date,Species (parts),Fishery type,Action (close/open),date not clear,Reason,Where,Area,S. Latitude (°N),N. Latitude (°N),Source,Link,Notes
"November 22,2010",ODFW,2010,12-01-2010,Dungeness Crab,commercial,open,,body condition,Point Arenas CA to Klipsan Beach WA,,38.911167,46.28,ODFW,https://www.dfw.state.or.us/news/2010/november/112210b.asp,
"November 10, 2011",ODFW,2011,12-01-2011,Dungeness Crab,commercial,close,,body condition,Point Arenas CA to WA-Canada border,ocean,38.911167,48.48,ODFW,https://www.dfw.state.or.us/news/2011/november/111011.asp,
"November 10, 2011",ODFW,2011,12-01-2011,Crabs,commercial,close,,body condition,Point Arenas CA to WA-Canada border,bay,38.911167,48.48,ODFW,https://www.dfw.state.or.us/news/2011/november/111011.asp,
"November 10, 2011",ODFW,2011,12-01-2011,Crabs,recreational,close,,body condition,OR,ocean,41.9981226,46.15,ODFW,https://www.dfw.state.or.us/news/2011/november/111011.asp,
"December 8, 2011",ODFW,2011,12-15-2011,Dungeness Crab,commercial/recreational,open,,body condition,Gold Beach to OR-WA border,ocean,42.26,46.15,ODFW,https://www.dfw.state.or.us/news/2011/december/120811c.asp,
"January 12, 2012",ODFW,2012,1-15-2012,Dungeness Crab,commercial/recreational,open,,body condition,CA-OR border to north of Gold Beach,ocean,41.9981226,42.26,ODFW,https://www.dfw.state.or.us/news/2012/January/011212.asp,
"November 14, 2012",ODFW,2012,12-01-2012,Dungeness Crab,commercial,close,,body condition,Point Arenas CA to WA-Canada border,ocean,38.911167,48.48,ODFW,https://www.dfw.state.or.us/news/2012/November/111412.asp,
"December 10, 2012",ODFW,2012,12-31-2012,Dungeness Crab,commercial,open,,body condition,OR,ocean,41.9981226,46.15,ODFW,https://www.dfw.state.or.us/news/2012/December/121012.asp,
"November 22, 2013",ODFW,2013,12-01-2013,Dungeness Crab,commercial,close,,body condition,CA-OR border to Klipsan beach WA,ocean,41.9981226,46.28,ODFW,https://www.dfw.state.or.us/news/2013/november/112513.asp,
"December 5, 2013",ODFW,2013,12-16-2013,Dungeness Crab,commercial,open,,body condition,CA-OR border to Klipsan beach WA,ocean,41.9981226,46.28,ODFW,https://www.dfw.state.or.us/news/2013/december/120513.asp,
"December 5, 2013",ODFW,2013,12-1-2013,Dungeness Crab,recreational,open,,body condition,OR,ocean,41.9981226,46.15,ODFW,https://www.dfw.state.or.us/news/2013/december/120513.asp,
"June 16, 2015",ODFW,2015,05-14-2015,Razor Clam,commercial/recreational,close,,domoic acid,OR,,41.9981226,46.15,ODFW,https://www.dfw.state.or.us/news/2015/june/061615.asp,Razor Clam not Dungeness
"November 20, 2015",ODFW,2015,12-01-2015,Dungeness Crab,commercial,close,,domoic acid,OR,ocean,41.9981226,46.15,ODFW,https://www.dfw.state.or.us/news/2015/November/112015.asp,
"November 20, 2015",ODFW,2015,11-20-2015,Dungeness Crab,recreational,close,,domoic acid,CA-OR Border to Haceta Head,bay,41.9981226,44.1387313,ODFW,https://www.dfw.state.or.us/news/2015/November/112015.asp,
"November 20, 2015",ODFW,2015,12-01-2015,Dungeness Crab,recreational,close,,domoic acid,Haceta Head to OR-WA border,ocean,44.1387313,46.15,ODFW,https://www.dfw.state.or.us/news/2015/November/112015.asp,
December 21 2015,ODFW,2016,01-04-2016,Dungeness Crab,commercial,open,,domoic acid,OR,ocean,41.9981226,46.15,ODFW,https://www.dfw.state.or.us/news/2015/december/122115b.asp,
December 21 2015,ODFW,2016,12-21-2015,Dungeness Crab,recreational,open,,domoic acid,OR,"ocean, bay",41.9981226,46.15,ODFW,https://www.dfw.state.or.us/news/2015/december/122115b.asp,
"November 18, 2016",ODFW,2016,11-18-2016,Crabs,commercial/recreational,close,,domoic acid,CA-OR border to Tillamook Head,"ocean, bay",41.9981226,45.9414945,ODFW,https://www.dfw.state.or.us/news/2016/11_nov/111816b.asp,
"November 22, 2016",ODFW,2016,12-01-2016,Dungeness Crab,commercial,close,,domoic acid,OR,"ocean, bay",41.9981226,46.15,ODFW,https://www.dfw.state.or.us/news/2016/11_nov/112216b.asp,"All crabs, commercial crabbing not just Dungeness"
"December 2, 2016",ODFW,2016,12-02-2016,Crabs,recreational,open,,domoic acid,Tillamook Head to OR-WA border,"ocean, bay",45.9414945,46.15,ODFW,https://www.dfw.state.or.us/news/2016/12_dec/120216d.asp,
"December 2, 2016",ODFW,2016,12-01-2016,Crabs,recreational,close,,domoic acid,Floras Creek to Tillamook Head ,"ocean, bay",44.4,45.9414945,ODFW,https://www.dfw.state.or.us/news/2016/12_dec/120216d.asp,Floras creek lat estimated from Google maps
"December 2, 2016",ODFW,2016,12-02-2016,Crabs,recreational,open,,domoic acid,CA-OR border to Floras Creek,"ocean, bay",41.9981226,44.4,ODFW,https://www.dfw.state.or.us/news/2016/12_dec/120216d.asp,Floras creek lat estimated from Google maps
"December 9, 2016",ODFW,2016,12-18-2016,Crabs,commercial,open,,domoic acid,CA-OR border to Cape Blanco,,41.9981226,42.837608,ODFW,https://www.dfw.state.or.us/news/2016/12_dec/120916.asp,
"December 9, 2016",ODFW,2016,12-10-2016,Crabs,recreational,open,,domoic acid,Cape Lookout to Tillamook Head,"ocean, bay",45.6382341,45.9414945,ODFW,https://www.dfw.state.or.us/news/2016/12_dec/120916.asp,
