"region","stockid","species_label","area","years_prod","years_rec"
"Canada West Coast","BOCACCBCW","Bocaccio (Sebastes paucispinis)","British Columbia Waters","1935-2011 (77 yr)",""
"Canada West Coast","CROCKWCVANISOGQCI","Canary rockfish (Sebastes pinniger)","West Coast of Vancouver Island and Strait of Georgia and Queen Charlotte Islands","1945-2008 (64 yr)",""
"Canada West Coast","ESOLEHS","English sole (Parophrys vetulus)","Hecate Strait","1944-2000 (57 yr)","1944-1997 (54 yr)"
"Canada West Coast","HERRCC","Pacific herring (Clupea pallasii pallasii)","Central Coast","1951-2014 (64 yr)","1951-2013 (63 yr)"
"Canada West Coast","HERRPRD","Pacific herring (Clupea pallasii pallasii)","Prince Rupert District","1951-2014 (64 yr)","1951-2013 (63 yr)"
"Canada West Coast","HERRQCI","Pacific herring (Clupea pallasii pallasii)","Queen Charlotte Islands","1951-2014 (64 yr)","1951-2013 (63 yr)"
"Canada West Coast","HERRWCVANI","Pacific herring (Clupea pallasii pallasii)","West Coast of Vancouver Island","1951-2014 (64 yr)","1951-2013 (63 yr)"
"Canada West Coast","PCOD5AB","Pacific cod (Gadus macrocephalus)","Queen Charlotte Sound","1956-2012 (57 yr)",""
"Canada West Coast","PCODHS","Pacific cod (Gadus macrocephalus)","Hecate Strait","1956-2012 (57 yr)",""
"Canada West Coast","PCODWCVANI","Pacific cod (Gadus macrocephalus)","West Coast of Vancouver Island","1956-2001 (46 yr)","1956-2002 (47 yr)"
"Canada West Coast","PERCHQCI","Pacific ocean perch (Sebastes alutus)","Haida Gwaii","1940-2012 (73 yr)","1940-2011 (72 yr)"
"Canada West Coast","PERCHWCVANI","Pacific ocean perch (Sebastes alutus)","West Coast of Vancouver Island","1940-2012 (73 yr)","1940-2011 (72 yr)"
"Canada West Coast","RSOLE5AB","Rock sole (Lepidopsetta bilineata)","Queen Charlotte Sound","1945-2013 (69 yr)","1945-2012 (68 yr)"
"Canada West Coast","RSOLEHSTR","Rock sole (Lepidopsetta bilineata)","Hecate Strait","1945-2000 (56 yr)","1945-2013 (69 yr)"
"Canada West Coast","SABLEFPCAN","Sablefish (Anoplopoma fimbria)","Pacific Coast of Canada","1965-2009 (45 yr)","1965-2010 (46 yr)"
"US Alaska","ALPLAICBSAI","Alaska plaice (Pleuronectes quadrituberculatus)","Bering Sea and Aleutian Islands","1988-2013 (26 yr)",""
"US Alaska","ARFLOUNDBSAI","Arrowtooth flounder (Atheresthes stomias)","Bering Sea and Aleutian Islands","1976-2014 (39 yr)","1976-2013 (38 yr)"
"US Alaska","ARFLOUNDGA","Arrowtooth flounder (Atheresthes stomias)","Gulf of Alaska","1961-2014 (54 yr)","1961-2014 (54 yr)"
"US Alaska","ATKABSAI","Atka mackerel (Pleurogrammus monopterygius)","Bering Sea and Aleutian Islands","1977-2014 (38 yr)","1977-2014 (38 yr)"
"US Alaska","BKINGCRABPI","Blue king crab (Paralithodes platypus)","Pribilof Islands","1981-2007 (27 yr)",""
